lcbo_name,size-mL,container,price,critic,critic_score,unit_price,lcbo_region,lcbo_country,vintage,viv_name,viv_region,viv_country,score,num_reviews,fwscore1,fwscore2,fwscore3,fwscore4
Rigoloccio Abudantia Merlot IGT,750,bottle,70.05,none,0.0,0.0934,,Italy,2011,Rigoloccio Abundantia Merlot,Maremma Toscana,Italy,4.3,144,92,96,92,92
Domaine Chanson Beaune Teurons,750,bottle,70.0,WE,93.0,0.09333333333333334,Burgundy,France,2013,Domaine Rossignol-Trapet Beaune Les Teurons,Beaune,France,4.0,701,68,60,60,85
Torres Mas La Plana Cabernet Sauvignon,750,bottle,70.0,RP,93.0,0.09333333333333334,Penedès,Spain,2015,Familia Torres Mas La Plana Cabernet Sauvignon,Penedès,Spain,4.2,18177,90,100,90,100
Manzone Gramolere Barolo,750,bottle,70.0,RP,94.0,0.09333333333333334,Piedmont,Italy,2013,Manzone Le Gramolere Barolo,Barolo,Italy,4.1,1038,94,88,94,100
Alpha Crucis Shiraz,750,bottle,70.0,AWC,97.0,0.09333333333333334,South Australia,Australia,2015,Alpha Crucis Titan Shiraz,McLaren Vale,Australia,3.9,392,86,79,86,100
Paternoster Don Anselmo Aglianico del Vulture,750,bottle,70.0,RP,96.0,0.09333333333333334,Basilicata,Italy,2013,Paternoster Don Anselmo,Aglianico del Vulture,Italy,4.0,1109,68,100,68,100
Tommasi Casisano Brunello di Montalcino,750,bottle,70.0,JS,93.0,0.09333333333333334,Tuscany,Italy,2010,Casisano - Colombaio Brunello di Montalcino,Brunello di Montalcino,Italy,4.1,3614,76,74,78,90
Ferrer Bobet Vinyes Velles,750,bottle,70.0,DWWA,97.0,0.09333333333333334,Priorat,Spain,2015,Ferrer Bobet Priorat Vinyes Velles,Priorat,Spain,4.2,5488,87,69,87,100
Duckhorn Napa Merlot,750,bottle,70.0,JS,92.0,0.09333333333333334,California,USA,2017,Duckhorn Napa Valley Merlot,Napa Valley,USA,4.2,23945,85,75,85,100
Emmolo Merlot,750,bottle,70.0,none,0.0,0.09333333333333334,California,USA,2017,Emmolo Merlot,Napa Valley,USA,4.4,12585,100,100,100,100
Laurus Hermitage,750,bottle,70.0,WS,91.0,0.09333333333333334,Rhône,France,2014,Laurus Hermitage Rouge,Hermitage,France,4.1,151,84,100,84,100
Joseph Jewell Grist Vineyard Zinfandel,750,bottle,70.0,WE,93.0,0.09333333333333334,California,USA,2016,Joseph Jewell Grist Vineyard Zinfandel,Dry Creek Valley,USA,4.0,131,100,100,100,100
Famille Perrin Domaine du Clos des Tourelles Gigondas,750,bottle,70.0,JD,99.0,0.09333333333333334,Rhône,France,2016,Famille Perrin Domaine du Clos des Tourelles Gigondas,Gigondas,France,4.2,894,100,100,100,100
Guerrieri Rizzardi Villa Rizzardi Amarone della Valpolicella Classico,750,bottle,70.0,GR,3.0,0.09333333333333334,Veneto,Italy,2013,Guerrieri Rizzardi Amarone della Valpolicella Classico Villa Rizzardi,Amarone della Valpolicella Classico,Italy,4.3,3700,78,78,100,100
Xavier Vignon Châteauneuf-du-Pape XV,750,bottle,70.0,RP,94.0,0.09333333333333334,Rhône,France,2016,Xavier Vignon Châteauneuf-du-Pape La Réserve X XII XV,Châteauneuf-du-Pape,France,4.3,17,81,94,81,100
Château Croizet-Bages,750,bottle,70.0,WE,93.0,0.09333333333333334,Bordeaux,France,2017,Château Croizet-Bages Le Croisé de Croizet-Bages Pauillac,Bordeaux,France,3.5,23,54,100,53,100
Castello Banfi Summus,750,bottle,70.0,WS,94.0,0.09333333333333334,Tuscany,Italy,2015,Banfi SummuS,Toscana,Italy,4.2,6013,67,92,73,100
Carpineto Riserva Vino Nobile Di Montepulciano,750,bottle,70.0,WS,91.0,0.09333333333333334,Tuscany,Italy,2007,Riserva Vino Nobile di Montepulciano Toscana,Toscana,Italy,3.5,13,78,88,80,90
Cortonesi La Mannella Brunello di Montalcino,750,bottle,70.0,JS,94.0,0.09333333333333334,Tuscany,Italy,2015,Cortonesi (La Mannella) Poggiarelli Brunello di Montalcino,Brunello di Montalcino,Italy,4.0,793,86,70,88,100
Fontanafredda Proprietà in Fontanafredda MGA Barolo,750,bottle,70.0,WS,95.0,0.09333333333333334,Piedmont,Italy,2013,Fontanafredda Barolo Proprietà in Fontanafredda,Piemonte,Italy,4.2,42,82,85,96,100
Caymus Suisun Grand Durif,750,bottle,70.0,none,0.0,0.09333333333333334,California,USA,2017,Caymus-Suisun Grand Durif,Suisun Valley,USA,4.4,3831,96,96,100,100
Wild Earth Earth and Sky Reserve Pinot Noir,750,bottle,70.0,WO,97.0,0.09333333333333334,Central Otago,New Zealand,2014,Wild Earth Earth and Sky Pinot Noir,Central Otago,New Zealand,4.0,93,90,77,90,100
Borgo Scopeto Gran Selezione Chianti Classico,750,bottle,70.0,none,0.0,0.09333333333333334,,Italy,,Borgo Scopeto Gran Selezione Chianti Classico,Chianti Classico,Italy,4.2,16,100,100,100,100
Montes Purple Angel,750,bottle,69.95,JS,98.0,0.09326666666666666,Colchagua Valley,Chile,2017,Montes Purple Angel,Colchagua Valley,Chile,4.4,15203,100,100,100,100
Masi Riserva di Costasera Amarone della Valpolicella Classico,750,bottle,69.95,JS,95.0,0.09326666666666666,Veneto,Italy,2013,Masi Costasera Amarone della Valpolicella Classico Riserva,Amarone della Valpolicella Classico,Italy,4.3,4725,84,89,97,100
Banfi Poggio alle Mura Brunello di Montalcino,750,bottle,69.95,JS,97.0,0.09326666666666666,Tuscany,Italy,2015,Banfi Poggio alle Mura Brunello di Montalcino,Brunello di Montalcino,Italy,4.2,11262,100,100,100,100
The Foreign Affair Apologetic Red,750,bottle,69.95,none,0.0,0.09326666666666666,Ontario,Canada,2017,The Foreign Affair Apologetic,Niagara Peninsula,Canada,4.4,155,94,100,94,100
Proprietà in Fontanafredda Barolo,750,bottle,69.95,WS,95.0,0.09326666666666666,Piedmont,Italy,2013,Fontanafredda Barolo Proprietà in Fontanafredda,Piemonte,Italy,4.2,42,65,88,82,100
Palazzo Brunello di Montalcino,750,bottle,69.95,none,0.0,0.09326666666666666,,Italy,,Palazzo Brunello di Montalcino,Brunello di Montalcino,Italy,4.2,1156,100,100,100,100
Ruffino Romitorio di Santedame Gran Selezione Chianti Classico,750,bottle,69.95,RP,93.0,0.09326666666666666,Tuscany,Italy,2016,Ruffino Romitorio di Santedame Chianti Classico Gran Selezione,Chianti Classico,Italy,4.2,74,76,76,100,100
Austin Hope Cabernet Sauvignon,750,bottle,69.95,WE,95.0,0.09326666666666666,California,USA,2018,Austin Hope Cabernet Sauvignon,Paso Robles,USA,4.5,21833,100,100,100,100
Crossbarn Napa Valley Cabernet Sauvignon,750,bottle,69.95,RP,92.0,0.09326666666666666,California,USA,2016,Oakwell Napa Valley California Cabernet Sauvignon,Napa Valley,USA,4.2,21,72,72,79,86
Château Deyrem Valentin,750,bottle,69.95,WE,93.0,0.09326666666666666,Bordeaux,France,2015,Château Deyrem Valentin Margaux,Margaux,France,3.9,3408,85,100,85,100
Rodney Strong Reserve Cabernet Sauvignon,750,bottle,69.95,DWWA,97.0,0.09326666666666666,California,USA,2015,Rodney Strong Reserve Cabernet Sauvignon,Alexander Valley,USA,4.1,3246,100,100,100,100
Gianfranco Bovio Gattera Barolo,750,bottle,69.95,JS,96.0,0.09326666666666666,Piedmont,Italy,2015,Bovio Gattera Barolo,Barolo,Italy,4.2,1071,78,100,78,100
Dowie Doole Cali Road Shiraz,750,bottle,69.85,none,0.0,0.09313333333333333,,Australia,2016,Dowie Doole Cali Road Shiraz,McLaren Vale,Australia,4.2,64,100,100,100,100
Château Poujeaux,750,bottle,69.85,DEC,93.0,0.09313333333333333,Bordeaux,France,2016,Château La France Bordeaux,Bordeaux,France,3.7,79,62,56,45,60
Château La Louvière,750,bottle,69.85,WS,91.0,0.09313333333333333,Bordeaux,France,2016,Château La France Bordeaux,Bordeaux,France,3.7,79,62,68,48,69
Largeot Beaune,750,bottle,69.75,none,0.0,0.093,Burgundy,France,2016,Daniel Largeot Beaune,Beaune,France,3.8,103,80,100,80,100
Castello Sonnino San Leone Toscana IGT,750,bottle,69.5,none,0.0,0.09266666666666666,,Italy,2009,Castello Sonnino San Leone,Toscana,Italy,4.0,230,81,100,81,100
Perrin C Aloxe Corton Les Boutieres,750,bottle,69.4,none,0.0,0.09253333333333334,Burgundy,France,2016,Domaine Perrin Aloxe-Corton 'Les Boutières',Aloxe-Corton,France,3.8,164,79,89,85,88
Corazon del Sol Block,750,bottle,69.2,none,0.0,0.09226666666666668,,Argentina,2014,Corazon del Sol Syrah,Uco Valley,Argentina,3.9,124,76,76,71,83
Nicolay Cote de Nuits Villages Montagnes,750,bottle,69.1,none,0.0,0.09213333333333333,Burgundy,France,2016,Sylvain Loichet Côte de Nuits Villages 'Aux Montagnes',Côte de Nuits Villages,France,3.7,427,72,80,68,81
Castello di Bossi Girolamo,750,bottle,69.0,VIN,94.0,0.092,Tuscany,Italy,2013,Castello di Bossi Girolamo,Toscana,Italy,4.1,518,100,100,100,100
Argiano Brunello di Montalcino,750,bottle,69.0,none,0.0,0.092,Tuscany,Italy,,Argiano Brunello di Montalcino,Brunello di Montalcino,Italy,4.2,14347,100,100,100,100
Numanthia,750,bottle,69.0,RP,92.0,0.092,Toro,Spain,2011,Numanthia Numanthia,Toro,Spain,4.3,15517,64,100,64,100
Punset Campo Quadro Barbaresco,750,bottle,69.0,none,0.0,0.092,Piedmont,Italy,2011,Punset Campo Quadro Barbaresco,Barbaresco,Italy,4.0,789,100,100,100,100
Lang & Reed Two Fourteen Cabernet Franc,750,bottle,69.0,WE,91.0,0.092,California,USA,2013,Lang & Reed Cabernet Franc,North Coast,USA,3.8,2127,80,69,79,100
Monte da Ravasqueira MR Premium Red,750,bottle,69.0,WE,93.0,0.092,Alentejo,Portugal,2014,Monte da Ravasqueira MR Premium Tinto,Alentejo,Portugal,4.3,889,89,91,89,94
Voyager Estate Cabernet Sauvignon,750,bottle,69.0,AWC,98.0,0.092,Western Australia,Australia,2014,Harvey River Bridge Estate Cabernet Sauvignon,Western Australia,Australia,3.5,44,74,85,64,86
E. Guigal Châteauneuf-du-Pape,750,bottle,69.0,none,0.0,0.092,,France,,E. Guigal Châteauneuf-du-Pape,Châteauneuf-du-Pape,France,4.1,14222,100,100,100,100
Marchesi de' Frescobaldi Mormoreto,750,bottle,69.0,JS,94.0,0.092,Tuscany,Italy,2015,Poli Distillerie Marchesi de Frescobaldi  e  Jacopo Poli Grappa,Veneto,Italy,0.0,0,56,76,55,82
Lingua Franca Avni Pinot Noir,750,bottle,69.0,none,0.0,0.092,Oregon,USA,2016,Lingua Franca Avni Pinot Noir,Eola-Amity Hills,USA,4.2,1194,100,100,100,100
Château Les Ormes,750,bottle,69.0,DWWA,95.0,0.092,Bordeaux,France,2012,Château les Ormes Bordeaux,Bordeaux,France,0.0,0,74,94,78,100
San Felice Campogiovanni Brunello di Montalcino,750,bottle,69.0,WS,92.0,0.092,Tuscany,Italy,2015,San Felice Campogiovanni Brunello di Montalcino,Brunello di Montalcino,Italy,4.2,13615,100,100,100,100
Val di Suga Riserva Brunello di Montalcino,750,bottle,69.0,JS,94.0,0.092,Tuscany,Italy,2013,Val di Suga Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.1,611,81,81,100,100
Schubert Block B Pinot Noir,750,bottle,69.0,JS,95.0,0.092,Wairarapa,New Zealand,2017,Schubert Block B Pinot Noir,Wairarapa,New Zealand,4.1,1333,100,100,100,100
Flora Springs Cabernet Sauvignon,750,bottle,69.0,none,0.0,0.092,,USA,,Flora Springs Cabernet Sauvignon,Napa Valley,USA,4.1,2804,100,100,100,100
Clos Beauregard,750,bottle,69.0,JS,94.0,0.092,Bordeaux,France,2015,Les Grands Châteaux de France Clos des Tours Bordeaux,Bordeaux,France,3.1,115,29,53,39,42
Salvatore Molettieri Vigna Cinque Querce Taurasi,750,bottle,69.0,WS,95.0,0.092,Campania,Italy,2012,Salvatore Molettieri Taurasi Vigna Cinque Querce,Taurasi,Italy,4.2,1176,83,83,100,100
Le Ginestre Sottocastello di Novello Barolo,750,bottle,69.0,JS,95.0,0.092,Piedmont,Italy,2015,Le Ginestre Sottocastello di Novello Barolo,Barolo,Italy,4.0,240,100,100,100,100
Col d'Orcia Olmaia Sant'Antimo Cabernet Sauvignon,750,bottle,69.0,VIN,93.0,0.092,Tuscany,Italy,2014,Col d'Orcia Cabernet Sant'Antimo Olmaia,Sant'Antimo,Italy,4.2,1561,64,69,89,100
Donatella Cinelli Colombini Brunello di Montalcino,750,bottle,68.95,JS,94.0,0.09193333333333334,Tuscany,Italy,2013,Donatella Cinelli Colombini Brunello di Montalcino (Casato Prime Donne),Brunello di Montalcino,Italy,4.3,4692,83,100,84,100
Nipozzano Vecchie Viti Riserva Chianti Rúfina,1500,bottle,68.95,RP,93.0,0.04596666666666667,Tuscany,Italy,2015,Castello Nipozzano Vecchie Viti Chianti Rùfina Riserva,Chianti Rùfina,Italy,3.9,5993,73,80,91,100
Dauphin de Grand Puy Ducasse Pauillac,750,bottle,68.95,none,0.0,0.09193333333333334,Bordeaux,France,2015,Château Grand-Puy Ducasse Le Cloitre de Grand-Puy Ducasse Pauillac,Pauillac,France,3.9,247,62,81,65,88
Château Fombrauge,750,bottle,68.95,WE,94.0,0.09193333333333334,Bordeaux,France,2016,Château La France Bordeaux,Bordeaux,France,3.7,79,60,71,54,59
Hagafen Estate Bottled Cabernet Sauvignon,750,bottle,68.9,none,0.0,0.09186666666666668,California,USA,2013,Far Niente Estate Bottled Cabernet Sauvignon,Oakville,USA,4.6,11215,87,88,87,89
Château La Confession,750,bottle,68.85,JS,92.0,0.09179999999999999,Bordeaux,France,2016,Château La Confession Demoiselle Bordeaux,Bordeaux,France,0.0,0,68,100,67,100
Fabio Gea Back Grignolino,750,bottle,68.7,none,0.0,0.0916,,Italy,2017,Fabio Gea Back Grin,Langhe,Italy,4.1,107,86,95,86,86
Scribe Pinot Noir Carneros,750,bottle,68.45,none,0.0,0.09126666666666668,California,USA,2018,Rabert Sinskey Vineyards Les Carneros Pinot Noir,California,USA,0.0,0,46,54,62,84
Ehert Family Balla's Blend Knights Valley,750,bottle,68.35,none,0.0,0.09113333333333333,California,USA,2010,Ehret Family Winery Bella's Blend,Knights Valley,USA,4.2,330,65,73,73,76
Blanville Clos Des Legendes,750,bottle,68.05,none,0.0,0.09073333333333333,Midi,France,2012,Château Haut Blanville Clos des Légendes,Languedoc,France,4.2,190,75,93,80,80
Brunello di Montalcino DOCG,750,bottle,68.05,none,0.0,0.09073333333333333,,Italy,2015,Banfi Brunello di Montalcino,Brunello di Montalcino,Italy,4.2,56953,80,90,80,90
Pio Cesare Barbaresco,750,bottle,68.0,JS,95.0,0.09066666666666667,Piedmont,Italy,2015,Pio Cesare Barbaresco,Barbaresco,Italy,4.2,6158,100,100,100,100
Thalarn,750,bottle,68.0,RP,95.0,0.09066666666666667,Catalunya,Spain,2015,Castell d'Encus Thalarn,Costers del Segre,Spain,4.1,1612,47,100,47,100
Domaine Saint-Préfert Châteauneuf-du-Pape,750,bottle,68.0,JD,93.0,0.09066666666666667,Rhône,France,2017,Domaine Saint Préfert Châteauneuf-du-Pape,Châteauneuf-du-Pape,France,4.1,2851,98,98,100,100
Youngberg Hill Natasha Pinot Noir,750,bottle,68.0,JS,94.0,0.09066666666666667,Oregon,USA,2016,Youngberg Hill Natasha Pinot Noir,Willamette Valley,USA,4.1,146,100,100,100,100
Rolf Binder Heysen Shiraz,750,bottle,68.0,AWC,97.0,0.09066666666666667,South Australia,Australia,2013,Rolf Binder Heysen Shiraz,Barossa Valley,Australia,4.1,509,100,100,100,100
Luigi Baudana Serralunga d'Alba Barolo,750,bottle,68.0,WS,94.0,0.09066666666666667,Piedmont,Italy,2015,Rivali Riserva Speciale Barolo Serralunga D' Alba,Piemonte,Italy,2.5,10,53,61,65,77
Moillard Aloxe-Corton,750,bottle,68.0,none,0.0,0.09066666666666667,Burgundy,France,2018,Moillard Aloxe-Corton,Aloxe-Corton,France,3.7,31,100,100,100,100
Clos Rene,750,bottle,68.0,JS,94.0,0.09066666666666667,Bordeaux,France,2015,Les Grands Châteaux de France Clos des Tours Bordeaux,Bordeaux,France,3.1,115,23,67,30,62
Château Cantemerle,750,bottle,67.95,RP,91.0,0.0906,Bordeaux,France,2011,Château Cantemerle Haut-Médoc (Grand Cru Classé),Haut-Médoc,France,3.9,21807,55,100,57,100
Bellevue Laffont,750,bottle,67.95,none,0.0,0.0906,Bordeaux,France,2014,Château Bellevue Laffont Bordeaux Blanc Sec,Bordeaux,France,3.3,20,54,100,55,100
Barmes Buecher Pinot Noir VV,750,bottle,67.95,none,0.0,0.0906,,France,2018,Domaine Barmès Buecher Réserve Pinot Noir,Alsace,France,3.9,638,70,71,78,78
Le Ginestre Barolo DOCG,750,bottle,67.9,none,0.0,0.09053333333333334,,Italy,2014,missed,missed,missed,0.0,0,21,33,21,21
Pacheca Lagar N.,750,bottle,67.9,none,0.0,0.09053333333333334,Douro,Portugal,2016,Pacheca Lagar No.,Douro,Portugal,4.4,697,97,94,97,97
Hay Shed Hill Cabernet Sauvignon,750,bottle,67.75,none,0.0,0.09033333333333333,,Australia,2014,Hay Shed Hill Cabernet Sauvignon,Margaret River,Australia,3.8,859,100,100,100,100
Thenard Pernand Vergelesses,750,bottle,67.7,none,0.0,0.09026666666666668,Burgundy,France,2014,Domaine Thénard Pernand,Pernand-Vergelesses,France,4.0,120,56,61,57,57
Quinta Da Corte Gran Reserva,750,bottle,67.7,none,0.0,0.09026666666666668,Douro,Portugal,2015,Quinta da Corte Princesa Reserva Tinto,Douro,Portugal,3.9,164,76,75,79,90
Duemani Altrovino,750,bottle,67.55,none,0.0,0.09006666666666666,,Italy,2017,Duemani Altrovino Merlot - Cabernet Franc,Costa Toscana,Italy,3.9,1649,59,100,61,100
Dacasto Duilio Moncucco Nizza DOCG,750,bottle,67.5,none,0.0,0.09,Piedmont,Italy,2017,Dacasto Duilio Moncucco Nizza,Nizza,Italy,4.4,141,92,100,92,100
Herència Altés L'Estel,1500,bottle,67.45,none,0.0,0.04496666666666667,Tarragona,Spain,2016,Herencia Altés L'Estel,Terra Alta,Spain,3.7,1181,95,95,98,98
Antoniolo Gattinara,750,bottle,67.4,none,0.0,0.08986666666666668,Piedmont,Italy,2013,Antoniolo Gattinara,Gattinara,Italy,4.0,1807,100,100,100,100
Alario Claudio Barolo Riva,750,bottle,67.4,none,0.0,0.08986666666666668,Piedmont,Italy,2014,missed,missed,missed,0.0,0,12,17,12,12
J. Vidal-Fleury Chateauneuf-du-Pape,750,bottle,67.35,none,0.0,0.08979999999999999,Rhône,France,2013,Vidal Fleury Châteauneuf-du-Pape Rouge,Châteauneuf-du-Pape,France,4.0,794,82,86,87,90
Duemani Altrovino IGP,750,bottle,67.35,none,0.0,0.08979999999999999,,Italy,2015,Duemani Altrovino Merlot - Cabernet Franc,Costa Toscana,Italy,3.9,1649,58,86,60,89
Eduardo Torres Pirrera,750,bottle,67.1,none,0.0,0.08946666666666665,,Italy,2016,Eduardo Torres Acosta Pirrera Nerello Mascalese,Terre Siciliane,Italy,4.1,127,64,73,64,100
Maison Jessiaume Volnay,750,bottle,67.05,none,0.0,0.0894,,France,2016,missed,missed,missed,0.0,0,28,33,21,21
Macán Clásico,750,bottle,67.0,RP,93.0,0.08933333333333333,Rioja,Spain,2016,Benjamin de Rothschild - Vega Sicilia Macán Clásico,Rioja,Spain,4.3,9633,41,100,38,100
Cowhorn Grenache,750,bottle,67.0,none,0.0,0.08933333333333333,Oregon,USA,2014,Cowhorn Grenache,Applegate Valley,USA,4.1,18,100,100,100,100
Cowhorn Syrah,750,bottle,67.0,none,0.0,0.08933333333333333,Oregon,USA,2013,Cowhorn Syrah,Applegate Valley,USA,4.1,43,100,100,100,100
Enzo Boglietti Boiolo Barolo,750,bottle,67.0,JS,94.0,0.08933333333333333,Piedmont,Italy,2013,Enzo Boglietti Boiolo Barolo,Barolo,Italy,4.1,428,100,100,100,100
Undurraga Altazor,750,bottle,67.0,GD,96.0,0.08933333333333333,Maipo Valley,Chile,2015,Undurraga Altazor,Maipo Valley,Chile,4.4,3643,100,100,100,100
St. Supéry Merlot,750,bottle,67.0,none,0.0,0.08933333333333333,California,USA,2016,St. Supéry Merlot,Rutherford,USA,4.1,943,100,100,100,100
Michele Chiarlo Faset Barbaresco,750,bottle,67.0,RP,93.0,0.08933333333333333,Piedmont,Italy,2016,Michele Chiarlo Faset Barbaresco,Barbaresco,Italy,3.8,75,100,100,100,100
Château Laroze,750,bottle,67.0,JS,92.0,0.08933333333333333,Bordeaux,France,2010,Les Grands Chais de France Château Londre Bordeaux,Bordeaux,France,2.6,19,38,79,35,63
Tyrrell's Vat,750,bottle,67.0,AWC,97.0,0.08933333333333333,New South Wales,Australia,2017,Hunter Valley Shiraz,New South Wales,Australia,3.4,36,30,31,36,36
Ca' Romé di Romano Marengo Rio Sordo Riserva Barbaresco,750,bottle,67.0,JS,95.0,0.08933333333333333,Piedmont,Italy,2013,Mareno di Piave Barbaresco Rio Sordo Riserva,Langhe,Italy,4.2,19,61,68,78,83
Boschendal Elgin Pinot Noir,750,bottle,67.0,none,0.0,0.08933333333333333,Elgin,South Africa,2016,Boschendal Elgin Pinot Noir,Elgin,South Africa,3.8,521,100,100,100,100
Domaine Jessiaume Volnay,750,bottle,67.0,W&S,90.0,0.08933333333333333,Burgundy,France,2017,Domaine Sorin de France Bourgogne Aligoté,Bourgogne Aligoté,France,3.4,44,43,50,41,45
Alois Lageder Krafuss Pinot Noir,750,bottle,66.95,none,0.0,0.08926666666666667,Alto Adige,Italy,2016,Alois Lageder Pinot Noir,Südtirol - Alto Adige,Italy,3.6,2139,86,67,86,100
Cerbaia Brunello di Montalcino,750,bottle,66.95,JS,92.0,0.08926666666666667,Tuscany,Italy,2014,Cerbaia Brunello di Montalcino,Brunello di Montalcino,Italy,4.1,813,100,100,100,100
Voerzio Martini La Serra Barolo,750,bottle,66.95,JS,96.0,0.08926666666666667,Piedmont,Italy,2015,Voerzio Martini La Serra Barolo,Barolo,Italy,4.1,1307,100,100,100,100
Deiss Rotenberg La Colline Rouge,750,bottle,66.85,none,0.0,0.08913333333333333,Alsace,France,2014,Marcel Deiss Rotenberg La Colline Rouge,Alsace,France,4.0,313,90,100,90,100
Domaine Laboureau Volnay,750,bottle,66.8,none,0.0,0.08906666666666667,Burgundy,France,2017,Domaine Sorin de France Bourgogne Aligoté,Bourgogne Aligoté,France,3.4,44,46,54,41,56
NOM Saurwein Pinot Noir,750,bottle,66.7,none,0.0,0.08893333333333334,,South Africa,2018,Saurwein Nom Pinot Noir,Western Cape,South Africa,4.4,347,83,83,100,100
OM Saurwein Pinot Noir,750,bottle,66.7,none,0.0,0.08893333333333334,,South Africa,2018,Saurwein Om Pinot Noir,Western Cape,South Africa,4.1,56,86,86,100,100
Peju Syrah Napa Valley,750,bottle,66.55,none,0.0,0.08873333333333333,California,USA,2014,Peju Syrah,Napa Valley,USA,4.1,674,62,100,62,100
Jeannot Santenay,750,bottle,66.45,none,0.0,0.0886,Burgundy,France,2017,Jeannot Santenay,Santenay,France,3.8,73,100,100,100,100
Fratelli Broccardo Barolo Bricco San Pietro,750,bottle,66.4,none,0.0,0.08853333333333334,Piedmont,Italy,2015,Broccardo Bricco San Pietro Barolo,Barolo,Italy,4.1,218,70,79,88,100
Luis Seabra Xisto Cru Red Douro,750,bottle,66.25,none,0.0,0.08833333333333333,Douro,Portugal,2016,Luis Seabra Xisto Cru Tinto,Douro,Portugal,4.0,963,79,81,72,88
Cantina Vignaioli Barbaresco Nervo DOCG,750,bottle,66.15,none,0.0,0.08820000000000001,Piedmont,Italy,2015,Cantina Vignaioli Barbaresco Nervo,Barbaresco,Italy,3.7,2954,93,100,93,100
Maison Roche de Bellene Vieilles Vignes Volnay,750,bottle,66.0,WS,93.0,0.088,Burgundy,France,2014,Maison Roche de Bellene Chardonnay Bourgogne Vieilles Vignes,Bourgogne,France,3.7,2459,74,65,74,92
Domaine Chanson Bressandes Beaune,750,bottle,66.0,JD,93.0,0.088,Burgundy,France,2015,Chanson Beaune Premier Cru Bressandes,Beaune Premier Cru,France,4.2,202,54,52,83,86
Paddy Borthwick Right Hand Pinot Noir,750,bottle,66.0,WO,95.0,0.088,Wairarapa,New Zealand,2016,Borthwick Right Hand Pinot noir,Wairarapa,New Zealand,4.0,24,88,97,91,100
Altos Las Hormigas Gualtallary Malbec,750,bottle,66.0,RP,96.0,0.088,Mendoza,Argentina,2017,Altos Las Hormigas Malbec Appellation Gualtallary,Gualtallary,Argentina,4.0,768,70,68,86,100
Mascota BB Big Bat,750,bottle,66.0,GD,94.0,0.088,Mendoza,Argentina,2015,Mascota Vineyards Big Bat Cabernet Sauvignon,Mendoza,Argentina,4.1,894,52,56,48,91
Fleur de Laroze,750,bottle,66.0,none,0.0,0.088,Bordeaux,France,2015,Fleur de Cazeau Réserve de France Bordeaux Supérieur,Bordeaux Supérieur,France,3.6,25,39,80,37,70
Ferrer Bobet,750,bottle,66.0,JS,97.0,0.088,Priorat,Spain,2016,Ferrer Bobet Priorat,Priorat,Spain,4.1,1565,75,100,75,100
Pecchenino San Giuseppe Barolo,750,bottle,65.95,JS,93.0,0.08793333333333334,Piedmont,Italy,2015,Pecchenino Barolo San Giuseppe,Barolo,Italy,4.0,762,77,77,100,100
Busto Grande Escolha,750,bottle,65.95,none,0.0,0.08793333333333334,Douro,Portugal,2014,Quinta da Barca Busto Grande Escolha Touriga Nacional,Douro,Portugal,4.1,160,55,100,55,100
Castello la Leccia Chianti Classico Bruciagna Gran Selezione,750,bottle,65.9,none,0.0,0.08786666666666668,,Italy,2013,Castello La Leccia Bruciagna Gran Selezione Chianti Classico,Chianti Classico,Italy,4.1,131,70,70,100,100
Bulichella Coldipietrerosse,750,bottle,65.8,none,0.0,0.08773333333333333,,Italy,2012,Bulichella Coldipietrerosse,Toscana,Italy,4.2,406,100,100,100,100
Bulichella Hide,750,bottle,65.8,none,0.0,0.08773333333333333,,Italy,2012,Bulichella Hide Syrah,Toscana,Italy,4.1,325,83,100,83,100
Lou Miranda Estate Old Vine Shiraz,750,bottle,65.6,none,0.0,0.08746666666666666,South Australia,Australia,2012,Lou Miranda Old Vine Shiraz,Barossa Valley,Australia,4.2,199,89,74,89,100
Silenus Winery Napa Merlot,750,bottle,65.4,none,0.0,0.08720000000000001,California,USA,2013,missed,missed,missed,0.0,0,19,33,25,25
Hubert Lignier Bourgogne Rouge,750,bottle,65.4,none,0.0,0.08720000000000001,Burgundy,France,2018,Hubert Lignier Bourgogne Pinot Noir - Grand Chaliot,Bourgogne,France,3.8,302,64,87,68,89
Bibbiano Chianti Classico Gran Selezione Vigna del Capannino,750,bottle,65.1,none,0.0,0.08679999999999999,,Italy,2011,Bibbiano Vigna del Capannino Gran Selezione Chianti Classico,Chianti Classico,Italy,4.1,113,65,65,100,100
Bibbiano Chianti Classico Montornel,750,bottle,65.1,none,0.0,0.08679999999999999,,Italy,2011,Bibbiano Montornello Chianti Classico Riserva,Chianti Classico,Italy,3.8,662,68,66,88,88
Chateau Changyu Moser XV Family Cabernet Sauvignon,750,bottle,65.1,none,0.0,0.08679999999999999,,China,2016,Château Changyu Moser XV 张裕摩塞尔十五世酒庄 Moser Family Cabernet Sauvignon 摩塞尔家族赤霞珠,Ningxia,China,3.1,815,78,68,78,91
Leeuwenkuil Heritage Syrah,750,bottle,65.0,TAT,95.0,0.08666666666666667,Swartland,South Africa,2017,Leeuwenkuil Family Vineyards Heritage Syrah,Swartland,South Africa,4.1,210,75,62,75,100
