lcbo_name,size-mL,container,price,critic,critic_score,unit_price,lcbo_region,lcbo_country,vintage,viv_name,viv_region,viv_country,score,num_reviews,fwscore1,fwscore2,fwscore3,fwscore4
Dal Forno Romano Monte Lodoletta Amarone della Valpolicella,5000,bottle,4104.0,JS,97.0,0.8208,Veneto,Italy,2010,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta,Amarone della Valpolicella,Italy,4.7,5848,73,73,100,100
Solaia,3000,bottle,3839.0,none,0.0,1.2796666666666667,Tuscany,Italy,,Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843,29,100,31,100
Maison Leroy Corton-Renardes,750,bottle,3640.0,BH,94.0,4.8533333333333335,Burgundy,France,2002,Leroy Corton-Renardes Grand Cru,Corton Grand Cru 'Les Renardes',France,4.6,139,71,75,71,86
Valbuena,6000,bottle,3636.0,none,0.0,0.606,Ribera del Duero,Spain,,Converso Monasterio Santa Maria de Valbuena Ribera del Duero,Ribera del Duero,Spain,4.2,171,24,100,24,100
House of Mandela Centennial,750,bottle,3245.0,none,0.0,4.326666666666667,,South Africa,2017,House Of Mandela The Phumla Pinotage,Western Cape,South Africa,3.2,58,63,67,51,74
Solaia,3000,bottle,2996.0,JS,96.0,0.9986666666666667,Tuscany,Italy,2008,Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843,29,100,31,100
Solaia,3000,bottle,2899.0,none,0.0,0.9663333333333334,Tuscany,Italy,,Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843,29,100,31,100
Solaia,3000,bottle,2715.0,JS,96.0,0.905,Tuscany,Italy,2003,Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843,29,100,31,100
Antinori Guado al Tasso,6000,bottle,2524.0,WE,92.0,0.4206666666666667,Tuscany,Italy,2003,Antinori Tenuta Guado al Tasso Matarocchio,Maremma Toscana,Italy,4.6,1188,71,74,71,100
Dal Forno Romano Monte Lodoletta Amarone della Valpolicella,3000,bottle,2468.0,JS,97.0,0.8226666666666667,Veneto,Italy,2010,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta,Amarone della Valpolicella,Italy,4.7,5848,73,73,100,100
Château Margaux,750,bottle,2400.0,WS,97.0,3.2,Bordeaux,France,1989,G.G. Ochsner Chateau Margaux Bordeaux,Médoc,France,0.0,0,54,93,56,67
Château Lafite-Rothschild,750,bottle,2400.0,WS,96.0,3.2,Bordeaux,France,2001,Château Lafite Rothschild Count De Lafite Bordeaux,Bordeaux,France,4.6,14,64,96,66,100
Penfolds Grange Shiraz,1500,bottle,2400.0,RP,98.0,1.6,South Australia,Australia,2014,Penfolds Grange,South Australia,Australia,4.6,18884,81,100,81,100
Château Haut-Brion,1500,bottle,2359.85,RP,97.0,1.5732333333333333,Bordeaux,France,2016,Château Larrivet Haut-Brion Le Bordeaux,Bordeaux,France,3.6,972,63,67,62,100
Tignanello,3000,bottle,2346.0,WS,96.0,0.782,Tuscany,Italy,1997,Antinori Tignanello,Toscana,Italy,4.5,102429,69,100,69,100
Château Haut-Brion,750,bottle,2345.0,RP,100.0,3.1266666666666665,Bordeaux,France,2005,Château Larrivet Haut-Brion Le Bordeaux,Bordeaux,France,3.6,972,63,67,62,100
Domaine Leroy Vosne Romanee Les Beaux Monts,750,bottle,2250.0,RP,96.0,3.0,Burgundy,France,2011,Leroy Vosne-Romanée,Vosne-Romanée,France,4.6,442,55,89,59,76
Château Canon,3000,bottle,2250.0,RP,98.0,0.75,Bordeaux,France,2015,Château Canon Montségur Bordeaux,Bordeaux,France,3.3,77,58,100,57,100
Château Latour,750,bottle,2245.0,VIN,98.0,2.993333333333333,Bordeaux,France,1990,A. de Luze Château Latour Bordeaux,Bordeaux,France,4.4,18,58,100,58,100
Château Latour,750,bottle,2239.0,RP,98.0,2.985333333333333,Bordeaux,France,2000,A. de Luze Château Latour Bordeaux,Bordeaux,France,4.4,18,58,100,58,100
