name,region,size-mL,container,price,critic,critic_score
Vérité La Joie 2016,"California, USA",750,bottle,650.0,JD,100
Vérité La Muse 2016,"California, USA",750,bottle,650.0,RP,100
Vérité Le Désir 2016,"California, USA",750,bottle,650.0,RP,99
Domaine d'Eugénie Echézeaux Grand Cru,France,750,bottle,645.0,none,0
Único 2010,"Ribera del Duero, Spain",750,bottle,642.0,DEC,98
Château Palmer 2006,"Bordeaux, France",750,bottle,640.0,RP,94
Guado al Tasso Matarocchio 2016,"Tuscany, Italy",750,bottle,640.0,RP,97
Domaine Ponsot Cuvée Vieilles Vignes Clos de Vougeot Grand Cru,"Burgundy, France",750,bottle,638.0,none,0
Domaine Ponsot Cuvée Vieilles Vignes Clos de Vougeot Grand Cru 2016,"Burgundy, France",750,bottle,638.0,VIN,91
Domaine Ponsot Chapelle-Chambertin Grand Cru 2017,"Burgundy, France",750,bottle,638.0,RP,95
Recrue des Sens Jeannot 2014,France,750,bottle,636.7,none,0
Recrue des Sens Jeannot 2015,France,750,bottle,636.7,none,0
Antinori Guado Al Tasso,"Tuscany, Italy",1500,bottle,632.0,none,0
Antinori Pian delle Vigne Brunello di Montalcino 2004,"Tuscany, Italy",3000,bottle,632.0,VIN,92
Solaia 2007,"Tuscany, Italy",750,bottle,627.0,VIN,97
Solaia 2007,"Tuscany, Italy",750,bottle,627.0,DEC,98
Château Palmer 2007,"Bordeaux, France",750,bottle,620.0,RP,92
Romano Dal Forno Amarone della Valpolicella 2006,"Veneto, Italy",750,bottle,619.0,DEC,96
Quintarelli Alzero 2011,"Veneto, Italy",750,bottle,615.0,none,0
Roberto Voerzio Riserva vigneto Pozzo dell'Annunziata Barbera d'Alba 2015,"Piedmont, Italy",1500,bottle,615.0,none,0
Antinori Pian delle Vigne Brunello di Montalcino 2005,"Tuscany, Italy",3000,bottle,612.0,VIN,92
Amuse Bouche Red 2013,"California, USA",750,bottle,610.0,RP,94
Château Rauzan-Ségla 2005,"Bordeaux, France",1500,bottle,610.0,WS,97
Au Sommet Atlas Peak Cabernet Sauvignon 2010,"California, USA",750,bottle,610.0,none,0
Morione Merlot Toscana IGT 2008,Italy,750,bottle,609.55,none,0
Lucien Le Moine Chambertin-Clos de Bèze Grand Cru 2017,"Burgundy, France",750,bottle,600.0,BH,90
Ornellaia 2017,"Tuscany, Italy",1500,bottle,600.0,JS,97
Sassicaia 2017,"Tuscany, Italy",1500,bottle,600.0,WE,97
Penfolds Bin 707 Cabernet Sauvignon 2018,"South Australia, Australia",750,bottle,599.0,RP,97
Solaia 2008,"Tuscany, Italy",750,bottle,599.0,JS,96
Solaia 2008,"Tuscany, Italy",750,bottle,599.0,WE,97
Château Palmer 2008,"Bordeaux, France",750,bottle,590.0,RP,94
Valbuena 5° 2015,"Ribera del Duero, Spain",1500,bottle,588.0,JS,97
Pintia,"Toro, Spain",3000,bottle,588.0,none,0
Solaia 2009,"Tuscany, Italy",750,bottle,584.0,WE,97
Chris Ringland Hoffman Vineyard Shiraz,"South Australia, Australia",750,bottle,580.0,none,0
Accendo Cellars Cabernet Sauvignon 2016,"California, USA",750,bottle,580.0,RP,98
Tua Rita Per Sempre Syrah,Italy,1500,bottle,580.0,none,0
Antinori Guado al Tasso 2003,"Tuscany, Italy",1500,bottle,576.0,WE,92
Antinori Guado al Tasso 2004,"Tuscany, Italy",1500,bottle,576.0,VIN,92
Domaine Clos Frantin Chambertin Grand Cru 2014,"Burgundy, France",750,bottle,572.0,WE,96
Col d'Orcia Brunello di Montalcino (Magnum) 1995,"Tuscany, Italy",1500,bottle,568.0,VIN,92
Lucien Le Moine Mazis-Chambertin Grand Cru 2017,"Burgundy, France",750,bottle,565.0,BH,91
Romano Dal Forno Amarone della Valpolicella 2008,"Veneto, Italy",750,bottle,562.0,VIN,98
Ulysses 2016,"California, USA",1500,bottle,552.0,JS,99
Paul Hobbs Nathan Coombs Estate Cabernet Sauvignon 2014,"California, USA",750,bottle,550.0,RP,97
Château Canon 2015,"Bordeaux, France",750,bottle,550.0,RP,98
Castelgiocondo Brunello di Montalcino 2012,"Tuscany, Italy",5000,bottle,549.95,WE,93
Solaia 2011,"Tuscany, Italy",750,bottle,549.0,VIN,96
