title,region,country,score,num_reviews
Au Sommet Cabernet Sauvignon,Atlas Peak,United States,4.6,877
E. Guigal Côte-Rôtie La Turque,Côte-Rôtie,France,4.6,3393
Cardinale Cabernet Sauvignon,Napa Valley,United States,4.6,397
E. Guigal Côte-Rôtie La Landonne,Côte-Rôtie,France,4.5,2924
Dulong Château Pontet Nivelle Bordeaux,Bordeaux,France,3.1,471
Château Lynch-Bages Blanc de Lynch-Bages,Bordeaux,France,4.0,2414
Louis Latour Chambertin Grand Cru Cuvée Héritiers Latour,Chambertin Grand Cru,France,4.2,619
Tenuta Castiglioni Giramonte Toscana,Toscana,Italy,4.3,1301
Yalumba The Caley Cabernet - Shiraz,South Australia,Australia,4.5,148
Au Sommet Cabernet Sauvignon,Atlas Peak,United States,4.6,877
Château Lynch-Bages Blanc de Lynch-Bages,Bordeaux,France,4.0,2414
Zenato Amarone della Valpolicella Archivio Storico,Amarone della Valpolicella,Italy,4.4,13
Stag's Leap Wine Cellars CASK 23 Cabernet Sauvignon,Napa Valley,United States,4.6,7051
Luce della Vite Luce,Toscana,Italy,4.4,12354
Col d'Orcia Poggio Al Vento Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.4,3366
Tenuta Col D'Orcia Riserva Brunello di Montalcino,Toscana,Italy,4.4,38
Quintarelli Giuseppe Amarone della Valpolicella Classico,Amarone della Valpolicella Classico,Italy,4.7,6411
Masi Mazzano Amarone Della Valpolicella Classico,Amarone della Valpolicella Classico,Italy,4.5,2314
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta,Amarone della Valpolicella,Italy,4.7,5848
Gallo Family Vineyards Cabernet Sauvignon,California,United States,3.3,6906
Amuse Bouche Proprietary Red,Napa Valley,United States,4.5,1384
Domaine Dujac Clos Saint-Denis Grand Cru,Clos Saint-Denis Grand Cru,France,4.5,531
Domaine Dujac Clos de la Roche Grand Cru,Clos de la Roche Grand Cru,France,4.5,1070
Masi Campolongo di Torbe Amarone della Valpolicella Classico,Amarone della Valpolicella Classico,Italy,4.4,3547
Antinori Tenuta Tignanello 'Solaia',Toscana,Italy,4.6,24843
Morlet Family Vineyards Cabernet Sauvignon Passionnément,Oakville,United States,4.6,275
Antinori Tenuta Guado al Tasso Matarocchio,Maremma Toscana,Italy,4.6,1188
Ra Yun Red,Elqui Valley,Chile,0.0,0
Domaine de Montille Vosne-Romanée 1er Cru 'Aux Malconsorts',Vosne-Romanée 1er Cru 'Malconsorts',France,4.3,155
Château La France Bordeaux,Bordeaux,France,3.7,79
Chateau Francesa Bordeaux,Bordeaux,France,0.0,0
Château La France Bordeaux,Bordeaux,France,3.7,79
Beringer Private Reserve Cabernet Sauvignon,Napa Valley,United States,4.4,8487
Tedeschi La Fabriseria Amarone della Valpolicella Classico,Amarone della Valpolicella Classico,Italy,4.4,511
Cliff Lede Poetry Cabernet Sauvignon,Stags Leap District,United States,4.7,695
Beringer Private Reserve Cabernet Sauvignon,Napa Valley,United States,4.4,8487
Penfolds Bin 407 Cabernet Sauvignon,South Australia,Australia,4.1,10097
Silver Oak Napa Valley Cabernet Sauvignon,Napa Valley,United States,4.5,40490
Stags' Leap Audentia Cabernet Sauvignon,Stags Leap District,United States,4.5,685
Chateau Francesa Bordeaux,Bordeaux,France,0.0,0
Chateau Francesa Bordeaux,Bordeaux,France,0.0,0
Chateau Francesa Bordeaux,Bordeaux,France,0.0,0
Moillard Chambolle-Musigny,Chambolle-Musigny,France,3.7,25
Lucien le Moine Charmes-Chambertin Grand Cru,Charmes-Chambertin Grand Cru,France,4.3,200
Bruno Giacosa Falletto Barolo,Barolo,Italy,4.4,2952
Scotto Family Cellars USA Cabernet,California,United States,3.4,83
Benjamin de Rothschild - Vega Sicilia Macán Clásico,Rioja,Spain,4.3,9621
Pierre Damoy Chambertin Clos de Bèze Grand Cru,Chambertin-Clos de Bèze Grand Cru,France,4.3,679
E. Guigal Côte-Rôtie La Turque,Côte-Rôtie,France,4.6,3393
Lucien le Moine Clos Saint-Denis Grand Cru,Clos Saint-Denis Grand Cru,France,4.4,286
Domaine Sol Payré Cuvée Ivresse des Sens,Côtes du Roussillon,France,3.9,1133
Pio Cesare Ornato Barolo,Barolo,Italy,4.4,4205
Senses Wines Cabernet Sauvignon,Oakville,United States,4.7,13
Louis Latour Château Corton Grancey Grand Cru,Corton Grand Cru,France,4.3,3168
Roy Estate Cabernet Sauvignon,Napa Valley,United States,4.5,626
Antinori Tenuta Guado al Tasso Matarocchio,Maremma Toscana,Italy,4.6,1193
Château La France Bordeaux,Bordeaux,France,3.7,79
Joseph Phelps Insignia,Napa Valley,United States,4.6,23380
Château de Beaucastel Hommage à Jacques Perrin Châteauneuf-du-Pape,Châteauneuf-du-Pape,France,4.5,4646
Stag's Leap Wine Cellars CASK 23 Cabernet Sauvignon,Napa Valley,United States,4.6,7054
Château La Conseillante Pomerol,Pomerol,France,4.3,10098
Château Ducru-Beaucaillou Saint-Julien (Grand Cru Classé),Saint-Julien,France,4.4,21513
Château Latour Les Forts de Latour Pauillac,Pauillac,France,4.4,8823
Col d'Orcia Poggio Al Vento Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.4,3366
Col d'Orcia Poggio Al Vento Brunello di Montalcino Riserva,Brunello di Montalcino,Italy,4.4,3366
Château Canon Montségur Bordeaux,Bordeaux,France,3.3,77
Château le Tertre Baron Louis de France Bordeaux,Bordeaux,France,3.0,12
Château La France Bordeaux,Bordeaux,France,3.7,79
